route_id,service_id,trip_id,trip_headsign,block_id
930002,平日,930002+平日+9300656,,930002+平日+9300656
930002,平日,930002+平日+9300657,,930002+平日+9300657
930002,平日,930002+平日+9300658,,930002+平日+9300658
930002,平日,930002+平日+9300659,,930002+平日+9300659
930002,平日,930002+平日+9300660,,930002+平日+9300660
930002,平日,930002+平日+9300661,,930002+平日+9300661
930002,平日,930002+平日+9300662,,930002+平日+9300662
930002,平日,930002+平日+9300663,,930002+平日+9300663
930002,平日,930002+平日+9300664,,930002+平日+9300656
930002,平日,930002+平日+9300665,,930002+平日+9300657
930002,平日,930002+平日+9300666,,930002+平日+9300658
930002,平日,930002+平日+9300667,,930002+平日+9300659
930002,平日,930002+平日+9300668,,930002+平日+9300660
930002,平日,930002+平日+9300669,,930002+平日+9300661
930002,平日,930002+平日+9300670,,930002+平日+9300662
930002,平日,930002+平日+9300671,,930002+平日+9300663
930002,平日,930002+平日+9300672,,930002+平日+9300656
930002,平日,930002+平日+9300673,,930002+平日+9300657
930002,平日,930002+平日+9300674,,930002+平日+9300658
930002,平日,930002+平日+9300675,,930002+平日+9300659
930002,平日,930002+平日+9300676,,930002+平日+9300660
930002,平日,930002+平日+9300677,,930002+平日+9300661
930002,平日,930002+平日+9300678,,930002+平日+9300662
930002,平日,930002+平日+9300679,,930002+平日+9300663
930002,平日,930002+平日+9300680,,930002+平日+9300656
930002,平日,930002+平日+9300681,,930002+平日+9300657
930002,平日,930002+平日+9300682,,930002+平日+9300658
930002,平日,930002+平日+9300683,,930002+平日+9300659
930002,平日,930002+平日+9300684,,930002+平日+9300660
930002,平日,930002+平日+9300685,,930002+平日+9300661
930002,平日,930002+平日+9300686,,930002+平日+9300662
930002,平日,930002+平日+9300687,,930002+平日+9300663
930002,平日,930002+平日+9300688,,930002+平日+9300656
930002,平日,930002+平日+9300689,,930002+平日+9300657
930002,平日,930002+平日+9300690,,930002+平日+9300658
930002,平日,930002+平日+9300691,,930002+平日+9300659
930002,平日,930002+平日+9300692,,930002+平日+9300660
930002,平日,930002+平日+9300693,,930002+平日+9300661
930002,平日,930002+平日+9300694,,930002+平日+9300662
930002,平日,930002+平日+9300695,,930002+平日+9300663
930002,平日,930002+平日+9300696,,930002+平日+9300656
930002,平日,930002+平日+9300697,,930002+平日+9300657
930002,平日,930002+平日+9300698,,930002+平日+9300658
930002,平日,930002+平日+9300699,,930002+平日+9300659
930002,平日,930002+平日+9300700,,930002+平日+9300660
930002,平日,930002+平日+9300701,,930002+平日+9300661
930002,平日,930002+平日+9300702,,930002+平日+9300662
930002,平日,930002+平日+9300703,,930002+平日+9300663
930002,平日,930002+平日+9300704,,930002+平日+9300656
930002,平日,930002+平日+9300705,,930002+平日+9300657
930002,平日,930002+平日+9300706,,930002+平日+9300658
930002,平日,930002+平日+9300707,,930002+平日+9300659
930002,平日,930002+平日+9300782,,930002+平日+9300660
930002,平日,930002+平日+9300783,,930002+平日+9300661
930002,平日,930002+平日+9300784,,930002+平日+9300662
930002,平日,930002+平日+9300785,,930002+平日+9300663
930002,平日,930002+平日+9300786,,930002+平日+9300656
930002,平日,930002+平日+9300787,,930002+平日+9300657
930002,平日,930002+平日+9300788,,930002+平日+9300788
930002,平日,930002+平日+9300789,,930002+平日+9300658
930002,平日,930002+平日+9300790,,930002+平日+9300659
930002,平日,930002+平日+9300791,,930002+平日+9300660
930002,平日,930002+平日+9300792,,930002+平日+9300661
930002,平日,930002+平日+9300793,,930002+平日+9300662
930002,平日,930002+平日+9300794,,930002+平日+9300663
930002,平日,930002+平日+9300795,,930002+平日+9300656
930002,平日,930002+平日+9300796,,930002+平日+9300657
930002,平日,930002+平日+9300797,中央図書館前行き,930002+平日+9300788
930002,平日,930002+平日+9300798,,930002+平日+9300658
930002,平日,930002+平日+9300799,,930002+平日+9300659
930002,平日,930002+平日+9300800,,930002+平日+9300660
930002,平日,930002+平日+9300801,中央図書館前行き,930002+平日+9300661
930002,平日,930002+平日+9300802,,930002+平日+9300662
930002,平日,930002+平日+9300803,,930002+平日+9300663
930002,平日,930002+平日+9300804,,930002+平日+9300656
930002,平日,930002+平日+9300805,,930002+平日+9300657
930002,平日,930002+平日+9300806,,930002+平日+9300658
930002,平日,930002+平日+9300807,,930002+平日+9300659
930002,平日,930002+平日+9300808,,930002+平日+9300660
930002,平日,930002+平日+9300809,,930002+平日+9300662
930002,平日,930002+平日+9300810,,930002+平日+9300663
930002,平日,930002+平日+9300811,中央図書館前行き,930002+平日+9300656
930002,平日,930002+平日+9300812,,930002+平日+9300657
930002,平日,930002+平日+9300813,,930002+平日+9300658
930002,平日,930002+平日+9300814,,930002+平日+9300659
930002,平日,930002+平日+9300815,,930002+平日+9300660
930002,平日,930002+平日+9300816,,930002+平日+9300662
930002,平日,930002+平日+9300817,中央図書館前行き,930002+平日+9300663
930002,平日,930002+平日+9300818,,930002+平日+9300657
930002,平日,930002+平日+9300819,中央図書館前行き,930002+平日+9300658
930002,平日,930002+平日+9300820,,930002+平日+9300659
930002,平日,930002+平日+9300821,中央図書館前行き,930002+平日+9300660
930002,平日,930002+平日+9300823,,930002+平日+9300662
930002,平日,930002+平日+9300825,,930002+平日+9300657
930002,平日,930002+平日+9300827,中央図書館前行き,930002+平日+9300659
930002,平日,930002+平日+9300828,中央図書館前行き,930002+平日+9300662
930002,平日,930002+平日+9300829,中央図書館前行き,930002+平日+9300657
930002,土曜,930002+土曜+9300831,,930002+土曜+9300831
930002,土曜,930002+土曜+9300832,,930002+土曜+9300832
930002,土曜,930002+土曜+9300833,,930002+土曜+9300833
930002,土曜,930002+土曜+9300834,,930002+土曜+9300831
930002,土曜,930002+土曜+9300835,,930002+土曜+9300835
930002,土曜,930002+土曜+9300836,,930002+土曜+9300832
930002,土曜,930002+土曜+9300837,,930002+土曜+9300837
930002,土曜,930002+土曜+9300838,,930002+土曜+9300838
930002,土曜,930002+土曜+9300839,,930002+土曜+9300833
930002,土曜,930002+土曜+9300840,,930002+土曜+9300840
930002,土曜,930002+土曜+9300841,,930002+土曜+9300831
930002,土曜,930002+土曜+9300842,,930002+土曜+9300842
930002,土曜,930002+土曜+9300843,,930002+土曜+9300835
930002,土曜,930002+土曜+9300844,,930002+土曜+9300832
930002,土曜,930002+土曜+9300845,,930002+土曜+9300837
930002,土曜,930002+土曜+9300846,,930002+土曜+9300838
930002,土曜,930002+土曜+9300847,,930002+土曜+9300833
930002,土曜,930002+土曜+9300848,,930002+土曜+9300840
930002,土曜,930002+土曜+9300849,,930002+土曜+9300831
930002,土曜,930002+土曜+9300853,,930002+土曜+9300842
930002,土曜,930002+土曜+9300854,,930002+土曜+9300854
930002,土曜,930002+土曜+9300855,,930002+土曜+9300832
930002,土曜,930002+土曜+9300856,,930002+土曜+9300837
930002,土曜,930002+土曜+9300857,,930002+土曜+9300838
930002,土曜,930002+土曜+9300858,,930002+土曜+9300833
930002,土曜,930002+土曜+9300859,,930002+土曜+9300840
930002,土曜,930002+土曜+9300860,,930002+土曜+9300831
930002,土曜,930002+土曜+9300861,,930002+土曜+9300842
930002,土曜,930002+土曜+9300862,,930002+土曜+9300854
930002,土曜,930002+土曜+9300863,,930002+土曜+9300832
930002,土曜,930002+土曜+9300864,,930002+土曜+9300837
930002,土曜,930002+土曜+9300865,,930002+土曜+9300838
930002,土曜,930002+土曜+9300866,,930002+土曜+9300833
930002,土曜,930002+土曜+9300867,,930002+土曜+9300840
930002,土曜,930002+土曜+9300868,,930002+土曜+9300831
930002,土曜,930002+土曜+9300869,,930002+土曜+9300842
930002,土曜,930002+土曜+9300870,,930002+土曜+9300854
930002,土曜,930002+土曜+9300871,,930002+土曜+9300832
930002,土曜,930002+土曜+9300872,,930002+土曜+9300837
930002,土曜,930002+土曜+9300873,,930002+土曜+9300838
930002,土曜,930002+土曜+9300874,,930002+土曜+9300833
930002,土曜,930002+土曜+9300875,,930002+土曜+9300840
930002,土曜,930002+土曜+9300876,,930002+土曜+9300831
930002,土曜,930002+土曜+9300877,,930002+土曜+9300842
930002,土曜,930002+土曜+9300878,,930002+土曜+9300854
930002,土曜,930002+土曜+9300879,,930002+土曜+9300832
930002,土曜,930002+土曜+9300880,,930002+土曜+9300837
930002,土曜,930002+土曜+9300881,,930002+土曜+9300838
930002,土曜,930002+土曜+9300882,,930002+土曜+9300833
930002,土曜,930002+土曜+9300883,,930002+土曜+9300840
930002,土曜,930002+土曜+9300884,,930002+土曜+9300831
930002,土曜,930002+土曜+9300885,,930002+土曜+9300842
930002,土曜,930002+土曜+9300886,,930002+土曜+9300854
930002,土曜,930002+土曜+9300887,,930002+土曜+9300832
930002,土曜,930002+土曜+9300888,,930002+土曜+9300837
930002,土曜,930002+土曜+9300889,,930002+土曜+9300838
930002,土曜,930002+土曜+9300890,,930002+土曜+9300833
930002,土曜,930002+土曜+9300891,,930002+土曜+9300840
930002,土曜,930002+土曜+9300892,,930002+土曜+9300831
930002,土曜,930002+土曜+9300893,,930002+土曜+9300842
930002,土曜,930002+土曜+9300894,,930002+土曜+9300832
930002,土曜,930002+土曜+9300895,,930002+土曜+9300837
930002,土曜,930002+土曜+9300896,,930002+土曜+9300838
930002,土曜,930002+土曜+9300897,,930002+土曜+9300833
930002,土曜,930002+土曜+9300898,,930002+土曜+9300840
930002,土曜,930002+土曜+9300899,,930002+土曜+9300831
930002,土曜,930002+土曜+9300900,,930002+土曜+9300842
930002,土曜,930002+土曜+9300901,,930002+土曜+9300832
930002,土曜,930002+土曜+9300902,,930002+土曜+9300837
930002,土曜,930002+土曜+9300903,,930002+土曜+9300838
930002,土曜,930002+土曜+9300904,,930002+土曜+9300833
930002,土曜,930002+土曜+9300905,,930002+土曜+9300840
930002,土曜,930002+土曜+9300906,,930002+土曜+9300831
930002,土曜,930002+土曜+9300907,,930002+土曜+9300842
930002,土曜,930002+土曜+9300908,,930002+土曜+9300832
